sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29857167	51	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857168	50	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857169	5	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857170	26	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857171	49	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857172	25	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857173	24	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857174	23	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857175	22	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857176	21	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857177	20	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857178	20	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857179	2	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857180	19	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857181	18	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857182	17	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857183	16	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857184	15	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857185	14	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857186	13	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857187	12	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857188	11	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857189	2	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857190	10	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857191	1	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857192	9	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
